miles
395
39
5
5606
5.8
50
9.4
1.5
400
300
32
27
8296
3000
475
6
200
3.728
4141
10
391
6283
24
397
600
30
40
20
700
8.2
74
60
27
452
9
450
6693
7000
2
25
